ID,RecordedDate,PrimaryStatusAfterGraduation,BranchOfService,CareerMeetsExpectation,EmployingOrganization,JobTitle,State,City,Employer_Country,Compensation,Salary_range,Degree_required,Employment_offer,Employment_acceptance,Job_connection,Application_website,Other_job_connection,Graduate_School,Graduate_School_Location,Graduate_Degree_Country,Graduate_Program,Program_Type,Postgraduation_offer,CC_job_Rating,CC_Drop_in_Advising_CareerLab ,CC_Handshake_Jobs,CC_Interview_Preparation,CC_Oncampus_Interview,CC_Networking_Strategies,CC_Career_Major_Exploration,CC_Fairs_Career_Events,CC_Resume_Cover_Letter_Review,CC_Career_Assessments ,CC_Resume_Cover_Letter Review,Primary_Status_Matching_Expectations,CC_Workshops
30031,13Jul2020 15:17:00,"Enrolled in a program of continuing education (e.g., graduate, professional school, certificate program, additional coursework)",,,,,,,,,,,,,,,,Notre Dame,Indiana,,Inorganic Chemistry,Doctorate,No,,,,,,,,Somewhat Satisfied,Satisfied,,Satisfied,Strongly Agree,
30032,08Oct2018 13:38:56,Employed full time (on average 30 hours or more per week),,,Holland Hospital,Registered Nurse,Michigan,Holland,,Hourly,"$45,000 - $49,999",A college degree is required and the position is related to my field of study.,0-3 months after graduation,0-3 months after graduation,Other On-line Job Posting Systems (please specify),Holland Hospital careers website,,,,,,,No,,,,,,,,,,,,Strongly Agree,
30033,10Oct2018 16:25:04,"Enrolled in a program of continuing education (e.g., graduate, professional school, certificate program, additional coursework)",,,,,,,,,,,,,,,,Grand Valley State University,Michigan,,School Psychology,Master's,No,,,,,,,,,,,,,
30034,20Jul2017 9:10:47,"Enrolled in a program of continuing education (e.g., graduate, professional school, certificate program, additional coursework)",,Strongly Agree,,,,,,,,,,,,,,Ball State University,Indiana,,Sport Performance,Master's,Yes,Somewhat Satisfied,Satisfied,Somewhat Satisfied,Satisfied,,Satisfied,Satisfied,,,Satisfied,,,
30035,06Jun2019 13:46:53,Employed full time (on average 30 hours or more per week),,,Jenison Public Schools,Science Teacher,Michigan,"Jenison, Michigan",,Hourly,"$50,000 - $54,999",An undergraduate degree is required and the position is related to my field of study,6+ months before graduation,6+ months before graduation,Personal Network,,,,,,,,No,,,,,,,,,,,,,
30036,26Sep2019 14:30:00,Employed full time (on average 30 hours or more per week),,,Stryker,Software Test Engineer,Michigan,Kalamazoo,,Hourly,"$75,000 - $79,999",A college degree is required and the position is related to my field of study.,0-3 months after graduation,0-3 months after graduation,Other On-line Job Posting Systems (please specify),Stryker career page,,,,,,,No,Satisfied,Satisfied,Satisfied,Satisfied,Somewhat Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Somewhat Satisfied,Satisfied,Strongly Agree,Satisfied
30037,12Oct2017 18:18:21,Employed full time (on average 30 hours or more per week),,,Whitehall District Schools,School Psychologist,Michigan,Whitehall,,Hourly,"$40,000 - $44,999",A graduate degree is required and the position is related to my field of study.,3-6 months before graduation,3-6 months before graduation,Faculty/Staff Recommendation,,,,,,,,Yes,,,,,,,,,,,,,
30038,07Jun2017 15:11:47,Employed full time (on average 30 hours or more per week),,Agree,VPro Inc.,Software Developer,Michigan,Allendale,,Hourly,"$35,000 - $39,999","A college degree is not required for this job, but my degree helped me to obtain it.",0-3 months after graduation,0-3 months after graduation,Career Center On-line Recruiting System (LakerJobs),,,,,,,,Yes,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,,Satisfied,,,
30039,18Dec2018 19:06:38,Employed full time (on average 30 hours or more per week),,,City of Grant,City Manager,Michigan,Grant,,Hourly,"$50,000 - $54,999",A graduate degree is required and the position is related to my field of study.,0-3 months after graduation,0-3 months after graduation,Other Job Posting System (please specify),,,,,,,,Yes,,,,,,,,,,,,,
30040,08Nov2017 21:32:41,Employed full time (on average 30 hours or more per week),,,Biomechanix Physical Therapy,Physical Therapist,Arizona,Goodyear,,Hourly,"$75,000 - $79,999",A graduate degree is required and the position is related to my field of study.,0-3 months after graduation,0-3 months after graduation,Other On-line Job Posting Systems (please specify),Indeed.com,,,,,,,No,Dissatisfied,Somewhat Satisfied,,Very Satisfied,,Somewhat Satisfied,,Somewhat Satisfied,Very Satisfied,,,,
30041,14Jun2018 15:11:25,Seeking employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,
30042,31May2018 15:42:54,"Enrolled in a program of continuing education (e.g., graduate, professional school, certificate program, additional coursework)",,,,,,,,,,,,,,,,Ferris State University,Michigan,,Pharmacy,Doctorate,,,,,,,,,,,,,Strongly Agree,
30043,06Jun2017 15:21:12,Employed full time (on average 30 hours or more per week),,Agree,Reformed Free Publishing Association,Children's Book Coordinator,Michigan,Jenison,,Hourly,"$25,000 - $29,999",A college degree is required and the position is related to my field of study.,3-6 months before graduation,3-6 months before graduation,Personal Network,,,,,,,,No,,,,,,,Satisfied,Satisfied,,,,,
30044,30Dec2020 14:34:00,Employed full time (on average 30 hours or more per week),,,L3Harris Technologies,Mechanical Engineer,Michigan,Muskegon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30045,13Mar2017 7:21:15,Employed full time (on average 30 hours or more per week),,,Beaumont Health,Medical Dosimetrist,Michigan,Royal Oak,,Hourly,"$80,000 - $84,999",A graduate degree is required and the position is related to my field of study.,3-6 months after graduation,3-6 months after graduation,Other On-line Job Posting Systems (please specify),LinkedIn,,,,,,,,,,,,,,,,,,,,
30046,27Feb2019 13:06:02,Seeking employment,,,,,,,,,,,,,,,,,,,,,No,,Dissatisfied,Somewhat Satisfied,,,,,,Dissatisfied,Dissatisfied,,Disagree,
30047,25Jun2019 11:46:26,Employed full time (on average 30 hours or more per week),,,Metro Health University of Michigan Hospital,Registered Nurse,Michigan,Wyoming,,Hourly,"$40,000 - $44,999",A college degree is required and the position is related to my field of study.,0-3 months after graduation,0-3 months after graduation,Other On-line Job Posting Systems (please specify),Metro Health website,,,,,,,Yes,,,,Very Dissatisfied,,,,,,,,Strongly Agree,
30048,12Feb2020 15:00:00,Seeking employment,,,,,,,,,,,,,,,,,,,,,,,,Dissatisfied,,,,,,Somewhat Satisfied,,,Disagree,
30049,15Feb2019 1:39:17,Seeking employment,,,,,,,,,,,,,,,,,,,,,No,,Satisfied,Somewhat Satisfied,,Satisfied,,,,,,,Strongly Agree,Satisfied
30050,03Jun2020 11:08:00,Employed full time (on average 30 hours or more per week),,,Planet fitness,Trainer,Michigan,Holland,,Hourly,"$25,000 - $29,999",Having a college degree made no difference to me obtaining this position.,0-3 months before graduation,0-3 months before graduation,Other,,,,,,,,No,Satisfied,Satisfied,Satisfied,Somewhat Satisfied,Somewhat Satisfied,Satisfied,Satisfied,Very Satisfied,Somewhat Satisfied,Satisfied,Satisfied,Strongly Agree,Satisfied
30051,31May2018 15:13:20,Employed full time (on average 30 hours or more per week),,,Arbor Circle,Therapist,Michigan,Grand Rapids,,Hourly,"$35,000 - $39,999",A graduate degree is required and the position is related to my field of study.,0-3 months before graduation,0-3 months before graduation,Other On-line Job Posting Systems (please specify),Indeed.com,,,,,,,No,Very Satisfied,,,Very Satisfied,,,Very Satisfied,,Very Satisfied,,,,
30052,06Jul2020 11:54:00,"Enrolled in a program of continuing education (e.g., graduate, professional school, certificate program, additional coursework)",,,,,,,,,,,,,,,,GVSU,Michigan,,MSA,Master's,Yes,,,,,Very Satisfied,,,Very Satisfied,,,,Strongly Agree,
30053,04Jun2018 19:12:00,Employed full time (on average 30 hours or more per week),,,Dicastal North America,Intern,Michigan,Greenville,,Hourly,"$30,000 - $34,999",A college degree is required and the position is related to my field of study.,0-3 months after graduation,0-3 months after graduation,Other On-line Job Posting Systems (please specify),Indeed,,,,,,,No,Somewhat Satisfied,Dissatisfied,,Somewhat Satisfied,,Somewhat Satisfied,Dissatisfied,Somewhat Satisfied,Dissatisfied,,,Agree,
30054,04Feb2018 15:28:44,Employed part time (on average less than 30 hours per week),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,
30055,12Dec2017 7:50:03,Employed full time (on average 30 hours or more per week),,Agree,Comprenew,Online Sales Manager,Michigan,Grand Rapids,,Click to write Choice 3,,"A college degree is not required for this job, but my degree helped me to obtain it.",9+ months after graduation,9+ months after graduation,GVSU Student Organization,,,,,,,,No,Somewhat Satisfied,,,,,,Very Satisfied,Somewhat Satisfied,,,,,
30056,06Jun2019 14:11:03,"Enrolled in a program of continuing education (e.g., graduate, professional school, certificate program, additional coursework)",,,,,,,,,,,,,,,,Grand Valley State University,Michigan,,Occupational Therapy,Master's,No,Very Satisfied,Somewhat Satisfied,Very Satisfied,Satisfied,,Somewhat Satisfied,Satisfied,Somewhat Satisfied,Satisfied,Satisfied,Somewhat Satisfied,Strongly Agree,
30057,28Dec2020 15:03:00,Employed full time (on average 30 hours or more per week),,,Meijer,Space Planner,Michigan,Grand Rapids,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30058,02Jul2017 15:30:53,Employed full time (on average 30 hours or more per week),,Agree,JB Hunt Transport,Operations Supervisor,Illinois,Joliet,,Hourly,"$50,000 - $54,999",A college degree is required and the position is related to my field of study.,0-3 months before graduation,0-3 months before graduation,Career Fair,,,,,,,,,Satisfied,Satisfied,,Very Satisfied,Satisfied,,Satisfied,Satisfied,,,,,
30059,29Nov2017 13:45:34,Employed full time (on average 30 hours or more per week),,Strongly Agree,TGW Systems Inc.,Software Engineer,Michigan,Grand Rapids,,Hourly,"$60,000 - $64,999",A college degree is required and the position is related to my field of study.,3-6 months before graduation,3-6 months before graduation,Other On-line Job Posting Systems (please specify),LinkedIn,,,,,,,Yes,Satisfied,Satisfied,Somewhat Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,,
30060,17Jan2021 17:47:00,Employed full time (on average 30 hours or more per week),,,DNR,Stewardship crew member,Michigan,Brighton,,Hourly,"Less than $20,000","A college degree is not required for this job, but my degree helped me to obtain it.",0-3 months after graduation,0-3 months after graduation,Other Job Posting Systems (please specify),indeed,,,,,,,No,,,,,,,,,,,,Agree,
30061,22Sep2016 13:57:08,Employed full time (on average 30 hours or more per week),,,Amazon,Software Design Engineer,Washington,Seattle,,Hourly,Greater than $100,"A college degree is not required for this job, but my degree helped me to obtain it.",3-6 months before graduation,3-6 months before graduation,Other On-line Job Posting Systems (please specify),LinkedIn,,,,,,,No,,,,,,,,,,,,,
30062,27Jan2020 15:56:00,Seeking employment,,,,,,,,,,,,,,,,,,,,,Yes,Very Satisfied,Satisfied,Somewhat Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Strongly Agree,Satisfied
30063,04Jun2018 20:52:13,Employed full time (on average 30 hours or more per week),,,The Center for Therapeutic Learning and Communication,Behavior Technician,Michigan,Clinton Twp.,,Hourly,"$25,000 - $29,999","A college degree is not required for this job, but my degree helped me to obtain it.",0-3 months before graduation,0-3 months before graduation,Other On-line Job Posting Systems (please specify),Indeed.com,,,,,,,No,,Satisfied,,,,,,,,,Somewhat Satisfied,Strongly Agree,
30064,03Jun2020 18:35:00,Employed full time (on average 30 hours or more per week),,,BRAINS,Outreach Coordinator,Michigan,Grand Rapids,,Hourly,"$35,000 - $39,999","A college degree is not required for this job, but my degree helped me to obtain it.",6+ months before graduation,6+ months before graduation,Personal Network,,,,,,,,No,,,Somewhat Satisfied,,,,,,,,Dissatisfied,Agree,
30065,25Oct2017 7:51:02,Employed part time (on average less than 30 hours per week),,,Ottawa Area ISD,Early Childhood Specialist,Michigan,Holland,,Hourly,"$30,000 - $34,999",A graduate degree is required and the position is related to my field of study.,0-3 months after graduation,0-3 months after graduation,Personal Network,,,,,,,,No,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Dissatisfied,Satisfied,Satisfied,,Satisfied
30066,31May2018 14:46:15,Employed part time (on average less than 30 hours per week),,,John Ball Zoo,Experience Facilitator,Michigan,Grand Rapids,,Hourly,"Less than $20,000",Having a college degree made no difference to me obtaining this position.,0-3 months before graduation,0-3 months before graduation,Personal Network,,,,,,,,No,Somewhat Satisfied,,Satisfied,,,,Dissatisfied,Somewhat Satisfied,,Satisfied,,Neutral,Somewhat Satisfied
30067,26Oct2017 14:20:20,Employed full time (on average 30 hours or more per week),,,City of Holland,Police Officer,Michigan,Holland,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly Agree,
30068,29Jun2017 22:04:10,"Enrolled in a program of continuing education (e.g., graduate, professional school, certificate program, additional coursework)",,,,,,,,,,,,,,,,Oakland University William Beaumont School of Medicine,Michigan,,Doctor of Medicine,Doctorate,No,,,,,,,,,,,,,
30069,05Dec2016 8:27:09,Employed full time (on average 30 hours or more per week),,Agree,Grand Rapids Griffins,Corporate Sales Fulfillment Coordinator,Michigan,Grand Rapids,,Hourly,"$25,000 - $29,999",A college degree is required and the position is related to my field of study.,0-3 months after graduation,0-3 months after graduation,Other,,"Had an internship here last year, position opened up",,,,,,,Satisfied,,,,,,,Satisfied,,,,,
30070,19Oct2019 15:03:00,Employed full time (on average 30 hours or more per week),,,Advent Physical Therapy,Physical Therapist,Michigan,Grand Rapids,,Hourly,"$60,000 - $64,999",A graduate degree is required and the position is related to my field of study.,0-3 months before graduation,0-3 months before graduation,Other Job Posting System (please specify),Indeed.com,,,,,,,Yes,,,,,,,,Somewhat Satisfied,,,,Strongly Agree,
30071,11Feb2020 18:40:00,Employed full time (on average 30 hours or more per week),,,Orchard View Schools,Middle School Science Teacher,Michigan,Muskegon,,Hourly,"$40,000 - $44,999",A college degree is required and the position is related to my field of study.,0-3 months after graduation,0-3 months after graduation,Other,,MAISD,,,,,,No,Satisfied,,Satisfied,,,Satisfied,,Satisfied,,,,Strongly Agree,
30072,15Feb2019 20:02:18,Planning to continue education but not yet enrolled,,,,,,,,,,,,,,,,N/A,Michigan,,Physician Assistant Studies,Master's,No,Somewhat Satisfied,,Somewhat Satisfied,,,,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,,,Neutral,
30073,06Jul2020 12:18:00,Employed full time (on average 30 hours or more per week),,,Cerner,Interface Engineer,Michigan,Wyoming,,Hourly,"$60,000 - $64,999",A college degree is required and the position is related to my field of study.,3-6 months after graduation,3-6 months after graduation,Handshake (GVSU Online Recruiting System),,,,,,,,No,Somewhat Satisfied,Satisfied,Satisfied,Dissatisfied,Dissatisfied,Somewhat Satisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,,Strongly Agree,Somewhat Satisfied
30074,29Jan2020 9:18:00,Employed full time (on average 30 hours or more per week),,,Law Firm,Paralegal Assisstant,Michigan,Southfield,,Hourly,"$30,000 - $34,999","A college degree is not required for this job, but my degree helped me to obtain it.",0-3 months before graduation,0-3 months before graduation,Personal Network,,,,,,,,Yes,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Somewhat Satisfied,Very Satisfied,Satisfied,Somewhat Satisfied,Very Satisfied,Somewhat Satisfied,Satisfied,Strongly Agree,Somewhat Satisfied
30075,14Jun2017 16:10:59,"Enrolled in a program of continuing education (e.g., graduate, professional school, certificate program, additional coursework)",,Strongly Agree,,,,,,,,,,,,,,University of Pikeville Kentucky College of Osteopathic Medicine,Kentucky,,Osteopathic Medicine,Doctorate,No,Very Satisfied,Very Satisfied,Satisfied,Satisfied,,Somewhat Satisfied,Very Satisfied,Satisfied,,Very Satisfied,,,
30076,03Jun2020 17:39:00,"Enrolled in a program of continuing education (e.g., graduate, professional school, certificate program, additional coursework)",,,,,,,,,,,,,,,,Grand Valley State University,Michigan,,Masters of Public Health,Master's,No,Somewhat Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Somewhat Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Strongly Agree,Very Satisfied
30077,22Jan2021 11:58:00,Employed full time (on average 30 hours or more per week),,,Amcor,Accounting Intern,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30078,06Jun2019 14:12:17,Employed part time (on average less than 30 hours per week),,,Spectrum Health,Patient Service Representative Associate,Michigan,Big Rapids,,Hourly,"$35,000 - $39,999","A college degree is not required for this job, but my degree helped me to obtain it.",0-3 months after graduation,0-3 months before graduation,Other,,Spectrum Health Careers,,,,,,,,,,Somewhat Satisfied,,,,,Somewhat Satisfied,,,Neutral,
30079,31May2018 13:07:46,Employed full time (on average 30 hours or more per week),,,Michigan Department of Corrections,Probation officer,Michigan,My. Clemons,,Hourly,"$40,000 - $44,999",A college degree is required and the position is related to my field of study.,0-3 months after graduation,0-3 months before graduation,Other On-line Job Posting Systems (please specify),Government jobs,,,,,,,Yes,Satisfied,Satisfied,Dissatisfied,Satisfied,,Somewhat Satisfied,Satisfied,Satisfied,Satisfied,,,Strongly Agree,
30080,03Jun2020 11:47:00,Employed full time (on average 30 hours or more per week),,,FWF,Logistics consultant,Michigan,Grand rapids,,Hourly,"$65,000 - $69,999",A college degree is required and the position is related to my field of study.,0-3 months after graduation,0-3 months after graduation,Handshake (GVSU Online Recruiting System),,,,,,,,,Dissatisfied,Dissatisfied,Somewhat Satisfied,,,Dissatisfied,Dissatisfied,Satisfied,,,,Strongly Agree,
30081,31May2018 21:57:36,"Enrolled in a program of continuing education (e.g., graduate, professional school, certificate program, additional coursework)",,,,,,,,,,,,,,,,North Central College,Illinois,,Occupational Therapy,Master's,No,Very Satisfied,Very Satisfied,,,,,Satisfied,,,,,Strongly Agree,
30082,21Dec2020 13:00:00,Employed full time (on average 30 hours or more per week),,,Navigator Truck Insurance Agency,Software Developer,Michigan,Grand Rapids,,,,,,,,,,,,,,,,,,,,,,,,,,,,
